RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,OWNER_SEQUENCE,OWNER_NAME,OWNER_PAN,OWNER_TYPE,OWNERSHIP_PERCENT,OWNERSHIP_ROLE,TITLE_DOCUMENT_TYPE,TITLE_DOCUMENT_DATE
OWNERSHIP,ABC-COL-0001,1,Priya Iyer,BJPJH1097F,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2018-07-19
OWNERSHIP,ABC-COL-0002,1,Amit Kumar,CSDTQ1194M,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2019-06-28
OWNERSHIP,ABC-COL-0003,1,Sneha Desai,DBTCY1291T,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2019-03-09
OWNERSHIP,ABC-COL-0004,1,Vikram Joshi,EKHMF1388Y,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2022-02-06
OWNERSHIP,ABC-COL-0005,1,Anita Kulkarni,FTXWP1485E,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2022-11-13
OWNERSHIP,ABC-COL-0006,1,Suresh Das,GCMEW1582L,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2023-10-09
OWNERSHIP,ABC-COL-0007,1,Kavita Malhotra,HLBPE1679R,INDIVIDUAL,70.00,PRIMARY_OWNER,SALE_DEED,2018-03-27
OWNERSHIP,ABC-COL-0007,2,Sanjay Verma,FTMMY1917F,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2018-03-27
OWNERSHIP,ABC-COL-0008,1,Rahul Saxena,JUQYM1776X,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2018-07-06
OWNERSHIP,ABC-COL-0009,1,Deepa Hegde,KDEHV1873D,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2019-10-10
OWNERSHIP,ABC-COL-0010,1,Arun Sharma,LMUSC1970K,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2020-01-21
OWNERSHIP,ABC-COL-0011,1,Meera Iyer,MVJBL2067Q,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2021-03-04
OWNERSHIP,ABC-COL-0012,1,Sanjay Kumar,NEYKT2164W,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2021-04-29
OWNERSHIP,ABC-COL-0013,1,Pooja Desai,PNNUB2261C,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2022-09-03
OWNERSHIP,ABC-COL-0014,1,Karthik Joshi,QWCDJ2358H,INDIVIDUAL,70.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2017-05-23
OWNERSHIP,ABC-COL-0014,2,Neha Malhotra,LMYYX2834M,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2017-05-23
OWNERSHIP,ABC-COL-0015,1,Lakshmi Kulkarni,RFRNR2455P,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2018-08-03
OWNERSHIP,ABC-COL-0016,1,Manoj Das,SPFXZ2552V,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2019-11-10
OWNERSHIP,ABC-COL-0017,1,Divya Malhotra,AABCM9012N,PARTNERSHIP,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2020-10-04
OWNERSHIP,ABC-COL-0018,1,Ravi Saxena,UGKQQ2746G,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2020-11-28
OWNERSHIP,ABC-COL-0019,1,Neha Hegde,VQZZX2843N,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2021-08-08
OWNERSHIP,ABC-COL-0020,1,Ashok Sharma,WYPJF2940U,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2024-05-30
OWNERSHIP,ABC-COL-0021,1,Sunita Iyer,XHDTN3037Z,INDIVIDUAL,70.00,PRIMARY_OWNER,GIFT_DEED,2018-04-21
OWNERSHIP,ABC-COL-0021,2,Pradeep Shetty,RFKLV3751T,INDIVIDUAL,30.00,CO_OWNER,SALE_DEED,2018-04-21
OWNERSHIP,ABC-COL-0022,1,Gopal Kumar,YRSCW3134F,INDIVIDUAL,100.00,PRIMARY_OWNER,AGREEMENT_TO_SELL,2019-02-19
OWNERSHIP,ABC-COL-0023,1,Rekha Desai,ZZGLD3231M,INDIVIDUAL,100.00,PRIMARY_OWNER,GIFT_DEED,2019-11-19
OWNERSHIP,ABC-COL-0024,1,Harish Joshi,AJWVM3328S,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2019-11-06
OWNERSHIP,ABC-COL-0025,1,Anjali Kulkarni,BSLEU3425Y,INDIVIDUAL,100.00,PRIMARY_OWNER,SALE_DEED,2020-11-30
OWNERSHIP,ABC-COL-0026,1,Pradeep Das,CAAPC3522E,INDIVIDUAL,100.00,PRIMARY_OWNER,ALLOTMENT_LETTER,2022-04-21
