RECORD_TYPE,MEMBER_LOAN_ACCOUNT_NUMBER,MEMBER_PROPERTY_REFERENCE,MEMBER_CUSTOMER_ID,BRANCH_CODE,REGION_CODE,BORROWER_TYPE,BORROWER_NAME,BORROWER_PAN,BORROWER_DATE_OF_BIRTH,BORROWER_MOBILE,BORROWER_EMAIL,CO_BORROWER_FLAG
BORROWER,ABC-HL-0001,ABC-COL-0001,ABC-CIF-100001,BR-MUM-002,WEST-01,INDIVIDUAL,Priya Iyer,BJPJH1097F,1966-02-02,9700000001,priya.iyer1@email.example.in,N
BORROWER,ABC-HL-0002,ABC-COL-0002,ABC-CIF-100002,BR-MUM-003,WEST-01,INDIVIDUAL,Amit Kumar,CSDTQ1194M,1967-03-03,9700000002,amit.kumar2@email.example.in,N
BORROWER,ABC-HL-0003,ABC-COL-0003,ABC-CIF-100003,BR-PUN-004,WEST-01,INDIVIDUAL,Sneha Desai,DBTCY1291T,1968-04-04,9700000003,sneha.desai3@email.example.in,N
BORROWER,ABC-HL-0004,ABC-COL-0004,ABC-CIF-100004,BR-THA-005,WEST-01,INDIVIDUAL,Vikram Joshi,EKHMF1388Y,1969-05-05,9700000004,vikram.joshi4@email.example.in,N
BORROWER,ABC-HL-0005,ABC-COL-0005,ABC-CIF-100005,BR-NGP-006,WEST-02,INDIVIDUAL,Anita Kulkarni,FTXWP1485E,1970-06-06,9700000005,anita.kulkarni5@email.example.in,Y
BORROWER,ABC-HL-0006,ABC-COL-0006,ABC-CIF-100006,BR-BLR-007,SOUTH-01,INDIVIDUAL,Suresh Das,GCMEW1582L,1971-07-07,9700000006,suresh.das6@email.example.in,N
BORROWER,ABC-HL-0007,ABC-COL-0007,ABC-CIF-100007,BR-BLR-008,SOUTH-01,INDIVIDUAL,Kavita Malhotra,HLBPE1679R,1972-08-08,9700000007,kavita.malhotra7@email.example.in,N
BORROWER,ABC-HL-0008,ABC-COL-0008,ABC-CIF-100008,BR-MYS-009,SOUTH-01,INDIVIDUAL,Rahul Saxena,JUQYM1776X,1973-09-09,9700000008,rahul.saxena8@email.example.in,N
BORROWER,ABC-HL-0009,ABC-COL-0009,ABC-CIF-100009,BR-MAA-010,SOUTH-02,INDIVIDUAL,Deepa Hegde,KDEHV1873D,1974-10-10,9700000009,deepa.hegde9@email.example.in,N
BORROWER,ABC-HL-0010,ABC-COL-0010,ABC-CIF-100010,BR-CJB-011,SOUTH-02,INDIVIDUAL,Arun Sharma,LMUSC1970K,1975-11-11,9700000010,arun.sharma10@email.example.in,Y
BORROWER,ABC-HL-0011,ABC-COL-0011,ABC-CIF-100011,BR-HYD-012,SOUTH-03,INDIVIDUAL,Meera Iyer,MVJBL2067Q,1976-12-12,9700000011,meera.iyer11@email.example.in,N
BORROWER,ABC-HL-0012,ABC-COL-0012,ABC-CIF-100012,BR-HYD-001,SOUTH-03,INDIVIDUAL,Sanjay Kumar,NEYKT2164W,1977-01-13,9700000012,sanjay.kumar12@email.example.in,N
BORROWER,ABC-HL-0013,ABC-COL-0013,ABC-CIF-100013,BR-DEL-002,NORTH-01,INDIVIDUAL,Pooja Desai,PNNUB2261C,1978-02-14,9700000013,pooja.desai13@email.example.in,N
BORROWER,ABC-HL-0014,ABC-COL-0014,ABC-CIF-100014,BR-DEL-003,NORTH-01,INDIVIDUAL,Karthik Joshi,QWCDJ2358H,1979-03-15,9700000014,karthik.joshi14@email.example.in,N
BORROWER,ABC-HL-0015,ABC-COL-0015,ABC-CIF-100015,BR-GGN-004,NORTH-02,INDIVIDUAL,Lakshmi Kulkarni,RFRNR2455P,1980-04-16,9700000015,lakshmi.kulkarni15@email.example.in,Y
BORROWER,ABC-HL-0016,ABC-COL-0016,ABC-CIF-100016,BR-FBD-005,NORTH-02,INDIVIDUAL,Manoj Das,SPFXZ2552V,1981-05-17,9700000016,manoj.das16@email.example.in,N
BORROWER,ABC-HL-0017,ABC-COL-0017,ABC-CIF-100017,BR-NOI-006,NORTH-03,PARTNERSHIP,Metro Logistics Partnership,AABCM9012N,,,accounts17@metro.example.in,N
BORROWER,ABC-HL-0018,ABC-COL-0018,ABC-CIF-100018,BR-LKO-007,NORTH-03,INDIVIDUAL,Ravi Saxena,UGKQQ2746G,1983-07-19,9700000018,ravi.saxena18@email.example.in,N
BORROWER,ABC-HL-0019,ABC-COL-0019,ABC-CIF-100019,BR-CCU-008,EAST-01,INDIVIDUAL,Neha Hegde,VQZZX2843N,1984-08-20,9700000019,neha.hegde19@email.example.in,N
BORROWER,ABC-HL-0020,ABC-COL-0020,ABC-CIF-100020,BR-AMD-009,WEST-03,INDIVIDUAL,Ashok Sharma,WYPJF2940U,1985-09-21,9700000020,ashok.sharma20@email.example.in,Y
BORROWER,ABC-HL-0021,ABC-COL-0021,ABC-CIF-100021,BR-SUR-010,WEST-03,INDIVIDUAL,Sunita Iyer,XHDTN3037Z,1986-10-22,9700000021,sunita.iyer21@email.example.in,N
BORROWER,ABC-HL-0022,ABC-COL-0022,ABC-CIF-100022,BR-BDQ-011,WEST-03,INDIVIDUAL,Gopal Kumar,YRSCW3134F,1987-11-23,9700000022,gopal.kumar22@email.example.in,N
BORROWER,ABC-HL-0023,ABC-COL-0023,ABC-CIF-100023,BR-JAI-012,NORTH-04,INDIVIDUAL,Rekha Desai,ZZGLD3231M,1988-12-24,9700000023,rekha.desai23@email.example.in,N
BORROWER,ABC-HL-0024,ABC-COL-0024,ABC-CIF-100024,BR-UDR-001,NORTH-04,INDIVIDUAL,Harish Joshi,AJWVM3328S,1989-01-25,9700000024,harish.joshi24@email.example.in,N
BORROWER,ABC-HL-0025,ABC-COL-0025,ABC-CIF-100025,BR-IDR-002,CENTRAL-01,INDIVIDUAL,Anjali Kulkarni,BSLEU3425Y,1990-02-26,9700000025,anjali.kulkarni25@email.example.in,Y
BORROWER,ABC-HL-0026,ABC-COL-0026,ABC-CIF-100026,BR-BHO-003,CENTRAL-01,INDIVIDUAL,Pradeep Das,CAAPC3522E,1991-03-27,9700000026,pradeep.das26@email.example.in,N
BORROWER,ABC-HL-0027,ABC-COL-0027,ABC-CIF-100027,BR-COK-004,SOUTH-04,INDIVIDUAL,Nisha Malhotra,DKQYK3619L,1992-04-28,9700000027,nisha.malhotra27@email.example.in,N
BORROWER,ABC-HL-0028,ABC-COL-0028,ABC-CIF-100028,BR-CHD-005,NORTH-05,INDIVIDUAL,Sunil Saxena,ETEGS3716R,1993-05-01,9700000028,sunil.saxena28@email.example.in,N
BORROWER,ABC-HL-0029,ABC-COL-0029,ABC-CIF-100029,BR-LDH-006,NORTH-05,INDIVIDUAL,Geeta Hegde,FBTRA3813X,1994-06-02,9700000029,geeta.hegde29@email.example.in,N
BORROWER,ABC-HL-0030,ABC-COL-0030,ABC-CIF-100030,BR-PAT-007,EAST-02,INDIVIDUAL,Rajesh Sharma,GLHAH3910D,1995-07-03,9700000030,rajesh.sharma30@email.example.in,Y
BORROWER,ABC-HL-0031,ABC-COL-0031,ABC-CIF-100031,BR-RNC-008,EAST-03,INDIVIDUAL,Priya Iyer,HUXKR4007J,1996-08-04,9700000031,priya.iyer31@email.example.in,N
BORROWER,ABC-HL-0032,ABC-COL-0032,ABC-CIF-100032,BR-BBI-009,EAST-04,INDIVIDUAL,Amit Kumar,JCMUY4104Q,1997-09-05,9700000032,amit.kumar32@email.example.in,N
BORROWER,ABC-HL-0033,ABC-COL-0033,ABC-CIF-100033,BR-GUW-010,EAST-05,INDIVIDUAL,Sneha Desai,KMBDG4201W,1998-10-06,9700000033,sneha.desai33@email.example.in,N
BORROWER,ABC-HL-0034,ABC-COL-0034,ABC-CIF-100034,BR-DDN-011,NORTH-06,LLP,Coastal Exports LLP,AABCC7890Q,,,accounts34@coastal.example.in,N
BORROWER,ABC-HL-0035,ABC-COL-0035,ABC-CIF-100035,BR-GOA-012,WEST-04,INDIVIDUAL,Anita Kulkarni,MDFWX4395H,1965-12-08,9700000035,anita.kulkarni35@email.example.in,Y
BORROWER,ABC-HL-0036,ABC-COL-0036,ABC-CIF-100036,BR-VIZ-001,SOUTH-05,INDIVIDUAL,Suresh Das,NNUFE4492P,1966-01-09,9700000036,suresh.das36@email.example.in,N
BORROWER,ABC-HL-0037,ABC-COL-0037,ABC-CIF-100037,BR-VJA-002,SOUTH-05,INDIVIDUAL,Kavita Malhotra,PWJQN4589V,1967-02-10,9700000037,kavita.malhotra37@email.example.in,N
BORROWER,ABC-HL-0038,ABC-COL-0038,ABC-CIF-100038,BR-ATQ-003,NORTH-05,INDIVIDUAL,Rahul Saxena,QEYZV4686A,1968-03-11,9700000038,rahul.saxena38@email.example.in,N
BORROWER,ABC-HL-0039,ABC-COL-0039,ABC-CIF-100039,BR-NSK-004,WEST-01,INDIVIDUAL,Deepa Hegde,RPNHD4783G,1969-04-12,9700000039,deepa.hegde39@email.example.in,N
BORROWER,ABC-HL-0040,ABC-COL-0040,ABC-CIF-100040,BR-JDH-005,NORTH-04,INDIVIDUAL,Arun Sharma,SXCSL4880N,1970-05-13,9700000040,arun.sharma40@email.example.in,Y
BORROWER,ABC-HL-0041,ABC-COL-0041,ABC-CIF-100041,BR-LDH-006,NORTH-05,INDIVIDUAL,Meera Iyer,TFSBT4977T,1971-06-14,9700000041,meera.iyer41@email.example.in,N
BORROWER,ABC-HL-0042,ABC-COL-0042,ABC-CIF-100042,BR-NGR-007,NORTH-04,INDIVIDUAL,Sanjay Kumar,UQGLB5074Z,1972-07-15,9700000042,sanjay.kumar42@email.example.in,N
BORROWER,ABC-HL-0043,ABC-COL-0043,ABC-CIF-100043,BR-MUM-008,WEST-01,INDIVIDUAL,Pooja Desai,VYVVJ5171F,1973-08-16,9700000043,pooja.desai43@email.example.in,N
BORROWER,ABC-HL-0044,ABC-COL-0044,ABC-CIF-100044,BR-MUM-009,WEST-01,INDIVIDUAL,Karthik Joshi,WGKES5268M,1974-09-17,9700000044,karthik.joshi44@email.example.in,N
BORROWER,ABC-HL-0045,ABC-COL-0045,ABC-CIF-100045,BR-PUN-010,WEST-01,INDIVIDUAL,Lakshmi Kulkarni,XRZNZ5365S,1975-10-18,9700000045,lakshmi.kulkarni45@email.example.in,Y
BORROWER,ABC-HL-0046,ABC-COL-0046,ABC-CIF-100046,BR-THA-011,WEST-01,INDIVIDUAL,Manoj Das,YZPXH5462Y,1976-11-19,9700000046,manoj.das46@email.example.in,N
BORROWER,ABC-HL-0047,ABC-COL-0047,ABC-CIF-100047,BR-NGP-012,WEST-02,INDIVIDUAL,Divya Malhotra,ZHDGQ5559E,1977-12-20,9700000047,divya.malhotra47@email.example.in,N
BORROWER,ABC-HL-0048,ABC-COL-0048,ABC-CIF-100048,BR-BLR-001,SOUTH-01,INDIVIDUAL,Ravi Saxena,ASTRY5656K,1978-01-21,9700000048,ravi.saxena48@email.example.in,N
BORROWER,ABC-HL-0049,ABC-COL-0049,ABC-CIF-100049,BR-BLR-002,SOUTH-01,INDIVIDUAL,Neha Hegde,BAHAF5753R,1979-02-22,9700000049,neha.hegde49@email.example.in,N
BORROWER,ABC-HL-0050,ABC-COL-0050,ABC-CIF-100050,BR-MYS-003,SOUTH-01,INDIVIDUAL,Ashok Sharma,CJWJP5850X,1980-03-23,9700000050,ashok.sharma50@email.example.in,Y
BORROWER,ABC-HL-0051,ABC-COL-0051,ABC-CIF-100051,BR-MAA-004,SOUTH-02,PRIVATE_LIMITED,Greenfield Developers Pvt Ltd,AABCG5678M,,,accounts51@greenfield.example.in,N
BORROWER,ABC-HL-0052,ABC-COL-0052,ABC-CIF-100052,BR-CJB-005,SOUTH-02,INDIVIDUAL,Gopal Kumar,EBACE6044J,1982-05-25,9700000052,gopal.kumar52@email.example.in,N
BORROWER,ABC-HL-0053,ABC-COL-0053,ABC-CIF-100053,BR-HYD-006,SOUTH-03,INDIVIDUAL,Rekha Desai,FKQMM6141Q,1983-06-26,9700000053,rekha.desai53@email.example.in,N
BORROWER,ABC-HL-0054,ABC-COL-0054,ABC-CIF-100054,BR-HYD-007,SOUTH-03,INDIVIDUAL,Harish Joshi,GUEWU6238W,1984-07-27,9700000054,harish.joshi54@email.example.in,N
BORROWER,ABC-HL-0055,ABC-COL-0055,ABC-CIF-100055,BR-DEL-008,NORTH-01,INDIVIDUAL,Anjali Kulkarni,HCUFC6335B,1985-08-28,9700000055,anjali.kulkarni55@email.example.in,Y
BORROWER,ABC-HL-0056,ABC-COL-0056,ABC-CIF-100056,BR-DEL-009,NORTH-01,INDIVIDUAL,Pradeep Das,JLJPK6432H,1986-09-01,9700000056,pradeep.das56@email.example.in,N
BORROWER,ABC-HL-0057,ABC-COL-0057,ABC-CIF-100057,BR-GGN-010,NORTH-02,INDIVIDUAL,Nisha Malhotra,KVXYT6529P,1987-10-02,9700000057,nisha.malhotra57@email.example.in,N
BORROWER,ABC-HL-0058,ABC-COL-0058,ABC-CIF-100058,BR-FBD-011,NORTH-02,INDIVIDUAL,Sunil Saxena,LDMHA6626U,1988-11-03,9700000058,sunil.saxena58@email.example.in,N
BORROWER,ABC-HL-0059,ABC-COL-0059,ABC-CIF-100059,BR-NOI-012,NORTH-03,INDIVIDUAL,Geeta Hegde,MMBSJ6723A,1989-12-04,9700000059,geeta.hegde59@email.example.in,N
BORROWER,ABC-HL-0060,ABC-COL-0060,ABC-CIF-100060,BR-LKO-001,NORTH-03,INDIVIDUAL,Rajesh Sharma,NWRBR6820G,1990-01-05,9700000060,rajesh.sharma60@email.example.in,Y
BORROWER,ABC-HL-0061,ABC-COL-0061,ABC-CIF-100061,BR-CCU-002,EAST-01,INDIVIDUAL,Priya Iyer,PEFKZ6917N,1991-02-06,9700000061,priya.iyer61@email.example.in,N
BORROWER,ABC-HL-0062,ABC-COL-0062,ABC-CIF-100062,BR-AMD-003,WEST-03,INDIVIDUAL,Amit Kumar,QNVUG7014T,1992-03-07,9700000062,amit.kumar62@email.example.in,N
BORROWER,ABC-HL-0063,ABC-COL-0063,ABC-CIF-100063,BR-SUR-004,WEST-03,INDIVIDUAL,Sneha Desai,RXKDQ7111Z,1993-04-08,9700000063,sneha.desai63@email.example.in,N
BORROWER,ABC-HL-0064,ABC-COL-0064,ABC-CIF-100064,BR-BDQ-005,WEST-03,INDIVIDUAL,Vikram Joshi,SFYNX7208F,1994-05-09,9700000064,vikram.joshi64@email.example.in,N
BORROWER,ABC-HL-0065,ABC-COL-0065,ABC-CIF-100065,BR-JAI-006,NORTH-04,INDIVIDUAL,Anita Kulkarni,TPNXF7305L,1995-06-10,9700000065,anita.kulkarni65@email.example.in,Y
BORROWER,ABC-HL-0066,ABC-COL-0066,ABC-CIF-100066,BR-UDR-007,NORTH-04,INDIVIDUAL,Suresh Das,UYCGN7402S,1996-07-11,9700000066,suresh.das66@email.example.in,N
BORROWER,ABC-HL-0067,ABC-COL-0067,ABC-CIF-100067,BR-IDR-008,CENTRAL-01,INDIVIDUAL,Kavita Malhotra,VGSQV7499Y,1997-08-12,9700000067,kavita.malhotra67@email.example.in,N
BORROWER,ABC-HL-0068,ABC-COL-0068,ABC-CIF-100068,BR-BHO-009,CENTRAL-01,PRIVATE_LIMITED,Heritage Builders Pvt Ltd,AABCH3456P,,,accounts68@heritage.example.in,N
BORROWER,ABC-HL-0069,ABC-COL-0069,ABC-CIF-100069,BR-COK-010,SOUTH-04,INDIVIDUAL,Deepa Hegde,XZWJL7693K,1999-10-14,9700000069,deepa.hegde69@email.example.in,N
BORROWER,ABC-HL-0070,ABC-COL-0070,ABC-CIF-100070,BR-CHD-011,NORTH-05,INDIVIDUAL,Arun Sharma,YHLTU7790R,1965-11-15,9700000070,arun.sharma70@email.example.in,Y
BORROWER,ABC-HL-0071,ABC-COL-0071,ABC-CIF-100071,BR-LDH-012,NORTH-05,INDIVIDUAL,Meera Iyer,ZRZCB7887X,1966-12-16,9700000071,meera.iyer71@email.example.in,N
BORROWER,ABC-HL-0072,ABC-COL-0072,ABC-CIF-100072,BR-PAT-001,EAST-02,INDIVIDUAL,Sanjay Kumar,AAPLK7984C,1967-01-17,9700000072,sanjay.kumar72@email.example.in,N
BORROWER,ABC-HL-0073,ABC-COL-0073,ABC-CIF-100073,BR-RNC-002,EAST-03,INDIVIDUAL,Pooja Desai,BJDVS8081J,1968-02-18,9700000073,pooja.desai73@email.example.in,N
BORROWER,ABC-HL-0074,ABC-COL-0074,ABC-CIF-100074,BR-BBI-003,EAST-04,INDIVIDUAL,Karthik Joshi,CSTEA8178Q,1969-03-19,9700000074,karthik.joshi74@email.example.in,N
BORROWER,ABC-HL-0075,ABC-COL-0075,ABC-CIF-100075,BR-GUW-004,EAST-05,INDIVIDUAL,Lakshmi Kulkarni,DBHPH8275V,1970-04-20,9700000075,lakshmi.kulkarni75@email.example.in,Y
