RECORD_TYPE,MEMBER_LOAN_ACCOUNT_NUMBER,CO_BORROWER_SEQUENCE,CO_BORROWER_NAME,CO_BORROWER_PAN,CO_BORROWER_RELATIONSHIP
CO_BORROWER,ABC-HL-0005,1,Rahul Kulkarni,ZRGZK2055Q,BUSINESS_PARTNER
CO_BORROWER,ABC-HL-0010,1,Pooja Sharma,YHPZU3110E,BUSINESS_PARTNER
CO_BORROWER,ABC-HL-0015,1,Ravi Kulkarni,XZWZD4165U,SIBLING
CO_BORROWER,ABC-HL-0020,1,Rekha Sharma,WQCZN5220J,PARENT
CO_BORROWER,ABC-HL-0025,1,Sunil Kulkarni,VGKZX6275Y,PARENT
CO_BORROWER,ABC-HL-0030,1,Sneha Sharma,UYSZG7330N,SIBLING
CO_BORROWER,ABC-HL-0035,1,Rahul Kulkarni,TPZZS8385C,PARENT
CO_BORROWER,ABC-HL-0040,1,Pooja Sharma,SFFZB9440S,BUSINESS_PARTNER
CO_BORROWER,ABC-HL-0045,1,Ravi Kulkarni,RXNZL1496G,SPOUSE
CO_BORROWER,ABC-HL-0050,1,Rekha Sharma,QNVZV2551W,BUSINESS_PARTNER
CO_BORROWER,ABC-HL-0055,1,Sunil Kulkarni,PEBZE3606L,BUSINESS_PARTNER
CO_BORROWER,ABC-HL-0060,1,Sneha Sharma,NWJYP4661A,SPOUSE
CO_BORROWER,ABC-HL-0065,1,Rahul Kulkarni,MMRYZ5716Q,SPOUSE
CO_BORROWER,ABC-HL-0070,1,Pooja Sharma,LDYYJ6771E,SPOUSE
CO_BORROWER,ABC-HL-0075,1,Ravi Kulkarni,KVEYT7826U,SIBLING
