RECORD_TYPE,MEMBER_LOAN_ACCOUNT_NUMBER,MEMBER_PROPERTY_REFERENCE,PRODUCT_TYPE,SANCTION_DATE,DISBURSEMENT_DATE,SANCTION_AMOUNT,CURRENT_OUTSTANDING,INTEREST_RATE,ACCOUNT_STATUS,ACCOUNT_STATUS_DATE,TENURE_MONTHS,EMI_AMOUNT,DPD,NPA_CLASSIFICATION
LOAN_ACCOUNT,ABC-HL-0001,ABC-COL-0001,PLOT_LOAN,2019-02-02,2019-03-15,2674269.95,2236797.41,8.3000,ACTIVE,2026-03-31,121,20503.98,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0002,ABC-COL-0002,HOME_LOAN,2020-03-03,2020-05-05,43911663.11,23234694.87,8.3500,ACTIVE,2026-03-31,122,212984.70,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0003,ABC-COL-0003,HOME_LOAN,2021-04-04,2021-04-28,11376913.69,8161550.19,8.4000,ACTIVE,2026-03-31,123,74814.21,0,SMA0
LOAN_ACCOUNT,ABC-HL-0004,ABC-COL-0004,LAP,2022-05-05,2022-07-28,15177452.02,11087371.24,8.4500,ACTIVE,2026-03-31,124,101634.24,0,SMA1
LOAN_ACCOUNT,ABC-HL-0005,ABC-COL-0005,PLOT_LOAN,2023-06-06,2023-07-30,32728578.77,17664061.38,8.5000,ACTIVE,2026-03-31,125,161920.56,0,SMA2
LOAN_ACCOUNT,ABC-HL-0006,ABC-COL-0006,PLOT_LOAN,2024-07-07,2024-08-26,29466454.08,10615378.59,8.5500,ACTIVE,2026-03-31,126,97307.64,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0007,ABC-COL-0007,HOME_LOAN,2018-08-08,2018-10-03,11233855.68,10167057.18,8.6000,ACTIVE,2026-03-31,127,93198.02,0,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0008,ABC-COL-0008,HOME_LOAN,2019-09-09,2019-11-02,19471304.95,0.00,8.6500,WRITTEN_OFF,2026-03-31,128,0.00,120,LOSS
LOAN_ACCOUNT,ABC-HL-0009,ABC-COL-0009,HOME_LOAN,2020-10-10,2020-11-25,14696326.06,12696587.47,8.7000,ACTIVE,2026-03-31,129,116385.39,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0010,ABC-COL-0010,HOME_LOAN,2021-11-11,2022-02-03,25538269.32,21255725.68,8.7500,ACTIVE,2026-03-31,130,194844.15,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0011,ABC-COL-0011,HOME_LOAN,2022-12-12,2023-02-22,21405212.00,15810389.58,8.8000,ACTIVE,2026-03-31,131,144928.57,11,SMA0
LOAN_ACCOUNT,ABC-HL-0012,ABC-COL-0012,HOME_LOAN,2023-01-13,2023-03-09,9908032.78,5228537.80,8.8500,ACTIVE,2026-03-31,132,47928.26,0,SMA1
LOAN_ACCOUNT,ABC-HL-0013,ABC-COL-0013,HOME_LOAN,2024-02-14,2024-04-28,18120863.04,8811972.77,8.9000,ACTIVE,2026-03-31,133,80776.42,0,SMA2
LOAN_ACCOUNT,ABC-HL-0014,ABC-COL-0014,CONSTRUCTION_LOAN,2018-03-15,2018-06-04,24284178.12,0.00,8.9500,CLOSED,2026-03-31,134,0.00,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0015,ABC-COL-0015,LAP,2019-04-16,2019-06-17,43918473.23,0.00,9.0000,WRITTEN_OFF,2026-03-31,135,0.00,120,LOSS
LOAN_ACCOUNT,ABC-HL-0016,ABC-COL-0016,COMMERCIAL_PROPERTY_LOAN,2020-05-17,2020-06-07,39994463.27,27867844.24,9.0500,ACTIVE,2026-03-31,136,255455.24,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0017,ABC-COL-0017,PLOT_LOAN,2021-06-18,2021-07-10,28599305.45,14286880.97,9.1000,ACTIVE,2026-03-31,137,130963.08,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0018,ABC-COL-0018,PLOT_LOAN,2022-07-19,2022-10-11,35732810.11,14505200.38,9.1500,ACTIVE,2026-03-31,138,132964.34,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0019,ABC-COL-0019,HOME_LOAN,2023-08-20,2023-11-10,8996459.95,7399928.31,9.2000,ACTIVE,2026-03-31,139,67832.68,0,SMA0
LOAN_ACCOUNT,ABC-HL-0020,ABC-COL-0020,COMMERCIAL_PROPERTY_LOAN,2024-09-21,2024-10-26,39769703.84,20172354.68,9.2500,ACTIVE,2026-03-31,140,184913.25,0,SMA1
LOAN_ACCOUNT,ABC-HL-0021,ABC-COL-0021,HOME_LOAN,2018-10-22,2018-12-01,23883304.92,21750510.14,9.3000,ACTIVE,2026-03-31,141,199379.68,0,SMA2
LOAN_ACCOUNT,ABC-HL-0022,ABC-COL-0022,HOME_LOAN,2019-11-23,2020-01-03,44007037.00,0.00,9.3500,CLOSED,2026-03-31,142,0.00,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0023,ABC-COL-0023,HOME_LOAN,2020-12-24,2021-03-24,26082680.51,23342599.71,9.4000,ACTIVE,2026-03-31,143,213973.83,0,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0024,ABC-COL-0024,COMMERCIAL_PROPERTY_LOAN,2021-01-25,2021-04-14,41238311.58,37511609.26,9.4500,ACTIVE,2026-03-31,144,343856.42,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0025,ABC-COL-0025,LAP,2022-02-01,2022-04-28,5520384.05,4720701.58,9.5000,ACTIVE,2026-03-31,145,43273.10,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0026,ABC-COL-0026,HOME_LOAN,2023-03-02,2023-03-28,36297269.99,23412170.62,9.5500,ACTIVE,2026-03-31,146,214611.56,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0027,ABC-COL-0027,HOME_LOAN,2024-04-03,2024-05-11,17598334.15,7853592.16,9.6000,ACTIVE,2026-03-31,147,71991.26,0,SMA0
LOAN_ACCOUNT,ABC-HL-0028,ABC-COL-0028,PLOT_LOAN,2018-05-04,2018-06-23,15148820.15,0.00,9.6500,SETTLED,2026-03-31,148,0.00,0,SMA1
LOAN_ACCOUNT,ABC-HL-0029,ABC-COL-0029,PLOT_LOAN,2019-06-05,2019-08-19,6268048.35,2975404.14,9.7000,ACTIVE,2026-03-31,149,27274.54,0,SMA2
LOAN_ACCOUNT,ABC-HL-0030,ABC-COL-0030,HOME_LOAN,2020-07-06,2020-08-12,11114167.86,7461987.57,9.7500,ACTIVE,2026-03-31,150,68401.55,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0031,ABC-COL-0031,HOME_LOAN,2021-08-07,2021-10-01,39749064.71,35672361.71,9.8000,ACTIVE,2026-03-31,151,326996.65,0,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0032,ABC-COL-0032,HOME_LOAN,2022-09-08,2022-10-18,23886711.35,8609724.36,9.8500,ACTIVE,2026-03-31,152,78922.47,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0033,ABC-COL-0033,HOME_LOAN,2023-10-09,2023-11-17,12679016.67,6644313.92,9.9000,ACTIVE,2026-03-31,153,60906.21,33,STANDARD
LOAN_ACCOUNT,ABC-HL-0034,ABC-COL-0034,HOME_LOAN,2024-11-10,2025-01-26,21803779.30,10031846.18,9.9500,ACTIVE,2026-03-31,154,91958.59,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0035,ABC-COL-0035,COMMERCIAL_PROPERTY_LOAN,2018-12-11,2019-03-11,43055415.64,17191266.13,10.0000,ACTIVE,2026-03-31,155,157586.61,0,SMA0
LOAN_ACCOUNT,ABC-HL-0036,ABC-COL-0036,LAP,2019-01-12,2019-03-05,2867544.13,1336709.21,10.0500,ACTIVE,2026-03-31,156,9425.51,0,SMA1
LOAN_ACCOUNT,ABC-HL-0037,ABC-COL-0037,HOME_LOAN,2020-02-13,2020-05-06,43361205.04,0.00,10.1000,WRITTEN_OFF,2026-03-31,157,0.00,120,LOSS
LOAN_ACCOUNT,ABC-HL-0038,ABC-COL-0038,PLOT_LOAN,2021-03-14,2021-05-17,42223677.15,34040809.39,10.1500,ACTIVE,2026-03-31,158,240031.35,0,SUB_STANDARD
LOAN_ACCOUNT,ABC-HL-0039,ABC-COL-0039,HOME_LOAN,2022-04-15,2022-05-27,15048841.99,0.00,10.2000,CLOSED,2026-03-31,159,0.00,0,DOUBTFUL
LOAN_ACCOUNT,ABC-HL-0040,ABC-COL-0040,COMMERCIAL_PROPERTY_LOAN,2023-05-16,2023-06-07,39472440.70,0.00,8.2500,SETTLED,2026-03-31,160,0.00,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0041,ABC-COL-0041,LAP,2024-06-17,2024-07-25,12818325.90,8444492.87,8.3000,ACTIVE,2026-03-31,161,59544.50,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0042,ABC-COL-0042,CONSTRUCTION_LOAN,2018-07-18,2018-08-11,4071200.26,3957917.39,8.3500,ACTIVE,2026-03-31,162,27908.39,0,STANDARD
LOAN_ACCOUNT,ABC-HL-0043,ABC-COL-0043,COMMERCIAL_PROPERTY_LOAN,2019-08-19,2019-09-28,28191187.02,14489637.75,8.4000,ACTIVE,2026-03-31,163,102170.52,0,SMA0
